word,word_en,tag,phrase_fr,phrase_en
mais,but,"adv,conj,intj"," je ne suis pas riche, mais je connais la vérité "," I'm not rich, but I know the truth "
nous,"we, us",pro, nous devons nous défendre nous-mêmes , we must defend ourselves 
comme,"like, as","adv,conj"," Tony et moi, on est comme des frères "," Tony and I, we're like brothers "
ou,or,conj, il en reste du café ou pas? , is there some coffee left or not? 
si,"if, whether","adv,conj,nmi"," aujourd'hui, notre économie va si mal ", today our economy is going so poorly 
leur,"them, their, theirs","det,adj(f),pro", l'énergie solaire assurait leur survie , solar energy assured their survival 
y,there,"adv,nmi,pro", c'est certain qu'on va y aller , it's for certain that we'll be going there 
dire,to say,"nm,v", je décrochais le téléphone sans rien dire à personne , I picked up the telephone receiver without saying anything to anyone
elle,"she, her",pro, j'étais fou amoureux. elle m'aimait bien , I was head-over-heels in love. she loved me a lot 
devoir,"to have to, owe; duty","nm,v", je dois travailler sans la moindre entrave , I must work without the least bit of hindrance 
avant,before,"adji,adv,nm,prep", tu vas te pencher en avant , you're going to lean forward 
deux,two,"det,nmi", il prend le train deux fois par semaine pour affaires , he takes the train on business twice per week
même,"same, even, self","adj(f),adv,pro", ils ne s'excusent même pas , they don't even excuse themselves 
prendre,to take,v, elle lui prit la main , she took him by the hand 
aussi,"too, also, as","adv,conj", je rêvais aussi de beaucoup voyager , I also dreamed of traveling a lot 
celui,"that, the one, he, him",pro, tu es celui que je respecte le plus , you're the one I respect the most 
donner,to give,v, j'aurais donné ma vie pour lui , I would have given my life for him 
bien,"i,adv,nm well",adj, tout va bien maintenant , everything's going well now 
où,where,"adv,pro", on ne dit pas où il vit , they aren't saying where he lives 
fois,"time, times",nf(pl), lève la main une fois , raise your hand one time 
vous,you,pro," ici, vous avez une personnalité publique "," here, you are a public personality "
encore,"again, yet",adv, tu as encore menti à ta femme , you lied once again to your wife 
nouveau,new,"adj,nm", il a construit une nouvelle vie ici , he made a new life for himself here 
aller,to go,"nm,v"," tu devrais aller te coucher, tu as l'air vanné "," you should go to bed, you look wiped out "
cela,"that, it",pro, cela demande de l'intégrité et du courage , that requires integrity and courage 
entre,between,prep, je marche entre les maisons , I'm walking between the houses 
premier,first,"det,nadj"," est-elle la première épouse, la deuxième? "," is she the first wife, the second one? "
vouloir,to want,"nm,v", tu veux faire ton chemin. c'est bien , you want to continue on your way. that's OK 
déjà,already,adv, les rues étaient déjà pleines de monde , the streets were already full of people 
grand,"great, big, tall","adv,nadj", tu es plus grand que je pensais , you're taller than I thought 
mon,my,det, t'aurais pu rencontrer mon copain , you could've met my buddy 
me,"me, to me, myself",pro, reviens me voir dans cinq ou six ans , come back to see me in five or six years 
moins,less,"adji(pl),adv,nm(pl),prep", il avait moins d'excuses encore que ses complices , he had even less excuses than his accomplices did
aucun,"none, either, neither, not any","det,adj,pro", trop d'argent et aucun goût , too much money and no taste 
lui,"him, her",pro, mais j'ai confiance qu'en lui , but I have confidence in him 
temps,time,nm(pl)," sur le plan spirituel, le temps n'existe pas "," on the spiritual level, time does not exist "
très,very,adv," j'ai été bonne? très, très bonne "," was I good? very, very good "
savoir,to know,"nm,v", je ne savais plus quoi dire , I didn't know what to say any more 
falloir,"to take, require, need",v," il ne faut pas être raciste, point "," there's no need to be a racist, at all "
voir,to see,v, je tenais seulement à te voir pour te dire ... bonne chance , I just wanted to see you to say ... good luck
quelque,some,"adv,adj,det", il restera pour quelques mois , he will stay for a few months 
sans,without,prep, je fais plus jeune sans maquillage , I look younger without makeup 
raison,reason,nf," elle a raison, tu sais "," she's right, you know "
notre,our,det, notre ville a le sens de la communauté , our city has a sense of community 
dont,"whose, of which",pro, on a tout ce dont tu rêvais en ville , everything you dreamed about is available in town 
non,"no, not","adv,nmi"," non, je ne peux pas parler maintenant "," no, I can't talk now "
an,year,nm, j'avais un an à la mort de mon père , I was one year old when my father died 
monde,"world, people",nm, notre ultime but est de reconstruire le monde , our ultimate goal is to remake the world 
jour,day,nm," un jour, je retrouverais mes vrais parents "," one day, I would find my real parents "
monsieur,"mister, sir, gentleman",nm," comment allez-vous , monsieur? "," how are you, sir? "
demander,to ask for,v, j'ai un service à vous demander , I would like to ask you to do something for me 
alors,"then, so",adv, et alors? vous revenez quand? , so? when are you coming back ? 
après,after,"adv,prep", il a succombé à ses blessures peu après , he shortly thereafter succumbed to his wounds 
trouver,to find,v, j'ai trouvé du sang. sur le siège avant , I found some blood. on the front seat 
personne,"person, people, anybody, anyone, nobody","nf,pro", il ne parlait à personne en particulier , he was speaking to nobody in particular 
rendre,"to render, return, yield, give up",v, je m'y rendis à 4 heures du matin , I went there at 4 o'clock in the morning 
part,share,nf, je voudrais vous faire part de quelques données , I want to share some data with you 
dernier,last,nadj, c'est le dernier endroit où vous auriez dû vous rencontrer , that's the last place you should have met
venir,to come,v, venez rencontrer les autres , come meet the others 
pendant,during; pendant,"adj,prep,nm", où t'étais pendant tout ce temps? , where were you all of this time? 
passer,to pass,v, nous sommes passées devant la maison de ma grand-mère , we went past the front of my grandmother's place
peu,little,adv, un secret se dévoile peu à peu , a secret unfolds little by little 
lequel,"who, whom, which",pro, il y a bien des points sur lesquels je voudrais faire des commentaires , there are many points on which I would like to comment
suite,"result, follow-up, rest",nf," deux, trois et ainsi de suite "," two, three, and so on "
bon,good,"adj,adv,intj,nm", ce n'est pas le bon moment , it's not a good time 
comprendre,to understand,v, je comprends que vous soyez fâché , I understand that you're upset 
depuis,"since, for","adv,prep", je le connais depuis le lycée , I have known him since high school 
point,point; at all,"adv,nm", je suis d'accord avec ce point de vue , I'm in agreement with that point of view 
ainsi,thus,adv, qu'est-ce qui le pousse à agir ainsi? , what drives him to act that way? 
heure,hour,nf, a quelle heure sont-ils partis? , at what time did they leave? 
rester,to stay,v," le temps qu'il te reste, trouve une solution "," in the remaining time, find a solution "
seul,"alone, only",adj, parler tout seul était signe d'aliénation , talking to oneself was a sign of loneliness 
année,year,nf, il devait se présenter l'année suivante , he had to show up the next year 
toujours,always,adv, tu es toujours en retard , you're always late 
tenir,to hold,v, c'est une porte de sécurité. tiens ça , it's a security door. hold this 
porter,"to wear, carry","nm,v", il a porté le maillot jaune un jour , he wore the yellow jersey one day 
parler,to speak,"nm,v", je sais de quoi je parle , I know what I'm talking about 
fort,strong,"adv,adj,nm", c'est une femme forte , she is a strong woman 
montrer,to show,v, c'est une étrange façon de montrer votre reconnaissance , that's a strange way to show your gratitude
là,"there, here","adv,intj", je n'étais pas passé par là , I hadn't passed by there 
certain,"certain, sure","adj,det,nm,pro", certains ont affirmé que le gouvernement était trop faible , some contend that the government was too weak
fin,end; gist; clever person,"adj,adv,nf,nm", la fin est importante en toutes choses , the ending is important in everything 
tu,you,pro," a ma place, tu ne le ferais pas "," in my position, you would not do it "
continuer,to continue,v, tu continues de m'impressionner , you continue to impress me 
pays,country,nm(pl), ils vivent dans ce beau pays , they live in this beautiful country 
trois,three,"det,nmi", les trois chasseurs étaient en pleine lumière , the three hunters were directly in the light 
penser,to think,"nm,v", je pense que vous le connaissez bien , I think you know him very well 
lieu,place,nm, je suis né dans un lieu public , I was born in a public place 
partie,part,nf, il garde la majeure partie de cet argent , he's keeping most of that money 
quand,when,"adv,conj", tu aurais dû me tuer quand tu en as eu l'occasion , you should have killed me when you had the chance
suivre,to follow,v," les autres, suivez-moi! "," everybody else, follow me! "
contre,against,"adv,nm,prep"," je vois, tu es en colère contre moi ", I see you're angry with me 
sous,under,prep, juste sous ton nez , right under your nose 
côté,side,nm, il s'arrête à côté du fauteuil , he stops beside the armchair 
ensemble,together,"adv,nm", on n'a jamais été si bien ensemble , we've never gotten along so well together 
chose,thing,"adj(f),nf", les choses pourraient bien changer à l'avenir , things could change in the future 
enfant,child,"nm,nf,adj(f)", mes enfants sont en vie , my children are alive 
cause,cause,nf, ces hallucinations ont une cause , these hallucinations have a cause 
politique,politics; political,nadj(f), elle se spécialise en sciences politiques , her specialty is political science 
place,"room, space, square, place",nf, je n'aimerais pas être à votre place , I wouldn't want to be in your stead 
seulement,only,adv," on va seulement rester quelques jours, ma chérie "," we're only going to stay a few days, my dear"
moi,me,"nm,pro", tu sors avec moi ce soir? , are you going out with me tonight? 
vie,life,nf, je suis sûr qu'elle est en vie , I'm sure she's alive 
connaître,to know,v, je le connaissais depuis vingt ans , I had known him for twenty years 
jusque,"to, up to, until","adv,prep", ils me poursuivirent jusque dans la rue , they followed me right into the street 
croire,to believe,v, je n'arrive pas à y croire , I just can't believe it 
homme,man,nm, l'homme est plus important que l'État , man is more important than country 
cas,case,nm(pl)," en tout cas, moi, je ne l'ai pas "," in any case, I don't have it "
petit,"small, little",nadj, ce petit drogué n'a pas tort , this little drug addict isn't wrong 
commencer,"to begin, start",v, il est important que ces entretiens commencent immédiatement , it's important that these meetings start immediately
compter,to count,v, je peux compter sur toi , I can count on you 
fait,"done, fact","adj,nm"," dans les faits, il a raison "," factually, he is correct "
tel,such,"adj,det,pro", je vais m'abstenir d'employer un tel langage , I'm going to refrain from using such language 
droit,right,"adj,adv,nm", elle a le droit de tout savoir , she has the right to know everything 
question,question,nf, je suis gêné de répondre à cette question , I'm embarrassed to answer this question 
donc,"so, then, therefore, thus",conj, nous avons donc dû faire les calculs nous-mêmes , we had to do the calculations ourselves 
quel,"which, what","det,adj,pro", quel livre cherchiez-vous? , which book are you looking for? 
général,general,nadj, voici quelques conseils généraux , here are a few general pieces of advice 
moment,moment,nm, arrête de parler pour un moment , stop talking for a moment 
entendre,to hear,v, j'ai entendu la nouvelle , I heard the news 
beaucoup,"much, a lot of, many",adv, il est en mesure de révéler beaucoup de choses , he's in a position to reveal many things 
chaque,each,"det,adj", chaque entreprise doit avoir sa propre organisation , every company must have its own organization
jeune,young,nadj(f), le gouvernement cherche à exploiter les jeunes , the government is trying to exploit young people
travail,work,nm, je ne prenais pas mon travail au sérieux , I wasn't taking my work seriously 
femme,"woman, wife",nf, je vous déclare maintenant mari et femme , I now declare you husband and wife 
attendre,to wait,v, ma mère m'attend dans la grande salle , my mother awaits me in the large room 
remettre,"to deliver, replace, set, put",v, on s'est remis à marcher , we resumed walking 
appeler,to call,v, comment s'appelle-t-il? , what's his name? 
permettre,to allow,v, vous permettez que j'utilise votre téléphone? , would you allow me to use your telephone? 
occuper,to occupy,v, sa main droite était occupée à tenir la petite valise , his right hand was busy holding the small suitcase
gouvernement,government,nm, le gouvernement a augmenté les impôts , the government increased taxes 
eux,them,pro, c'est eux qui comptent , they are the ones who matter 
devenir,to become,"nm,v", je suis très heureux que vous deveniez ma voisine , I'm very happy you've become my neighbor
partir,to leave,v, il est parti à présent , he is gone for the moment 
plan,plan,"adj,nm", achetez donc un plan de la ville , so buy a map of the city 
décider,to decide,v, j'ai décidé d'écrire un roman , I decided to write a novel 
soit,either...or,"adv,conj", il a pas le choix: soit il est une star soit il est rien , he doesn't have a choice: either he's a star or he's nothing
ici,here,adv, moi je reste ici , I'm going to stay here 
rien,nothing,"adv,nm,pro"," moi, je n'en sais rien ", I don't know anything about it 
cours,course,"nfpl,nm(pl)", ils organisaient des petits cours et des séminaires , they organized short courses and seminars 
affaire,"business, matter",nf, occupe-toi de tes affaires , mind your own business 
nom,name,nm, quel est son nom? , what is his name? 
famille,family,nf, il provient sûrement d'une excellente famille , he surely comes from an excellent family 
effet,effect,nm," il s'agit, en effet, d'une question cruciale "," it is, indeed, a crucial question "
arriver,"to arrive, happen",v, cela ne m'était pas arrivé depuis , that hasn't happened to me since 
possible,possible,adj(f), nous avons donc deux scénarios possibles , so we have two possible scenarios 
car,because; bus,"conj,nm"," c'est dommage, car tu vas perdre un gros client "," it's too bad, because you're going to lose a major customer"
servir,to serve,v, il m'a servi une coupe de champagne , he served me a glass of champagne 
mois,month,nm(pl), il a écrit ce livre en deux mois , he wrote this book in two months 
jamais,never,adv, je jure de ne plus jamais te contacter , I swear I will never contact you again 
sembler,to seem,v, le processus semble irréversible , the process seems irreversible 
tant,"so much, so many",adv, mais vous avez tant à enseigner , but you have so much to teach 
vers,toward; verse,"nm(pl),prep", un tram se dirige vers toi. monte dedans , a tram is approaching you. get on it 
besoin,need,nm, nous avons vraiment besoin d'aide , we really need some help 
revenir,to come back,v, je sais qu'elle ne reviendra jamais , I know she will never return 
dès,"from, as soon",prep, on me fera signe dès que vous descendrez , they'll wave to me as soon as you get down there 
moyen,"means, way; medium","adj,nm", il songeait aux moyens de profiter de sa victoire , he was dreaming of a way to profit from his victory
groupe,group,nm, on va commencer avec le premier groupe , we'll start with the first group 
problème,problem,nm, nous avons osé soulever le problème , we dared raise the problem 
rapport,"relationship, report",nm, je propose que le rapport du comité soit adopté , I move that the committee's report be adopted
peut-être,"perhaps, maybe",adv, j'ai peut-être une idée , I might have an idea 
vue,view,nf," la vue est belle, de cette fenêtre ", the view from this window is pretty 
maintenant,now,adv, je ne peux pas partir maintenant , I can't leave now 
pourquoi,why,"adv,conj,nmi", pourquoi tu ne m'invites pas? , why don't you invite me? 
meilleur,"better, best",nadj, j'apprends à être un meilleur mari , I'm learning to be a better husband 
trop,"too much, too many",adv, la vie est trop courte. essayez d'être heureuse , life is too short. try to be happy 
laisser,to leave,v, il va nous laisser tranquilles , he'll leave us alone 
ordre,order,nm, ce sont des scientifiques de premier ordre , they are first-rate scientists 
devant,"in front, ahead","adv,nm,prep", une fumée montait devant nous sur l'horizon , smoke billowed ahead of us on the horizon 
recevoir,to receive,v, il n'a plus reçu de lettres de moi , he didn't receive any more letters from me 
répondre,to answer,v, j'aimerais y répondre par une autre question , I would like to respond to it with another question
vivre,to live,"nm,v", aucune Marocaine ne vit seule dans le quartier , no Moroccan woman lives alone in the neighborhood
long,"long, lengthy","adv,nadj"," l'éducation sur le long terme paiera, j'en suis convaincu "," long-term education pays off, I'm convinced of that"
service,service,nm, je faisais mon service militaire , I was doing my military service 
ministre,minister,"nm,nf", les ministres se sont réunis dans la nuit , the ministers met during the night 
face,"front, side, face",nf, on s'est trouvés face à face , we found ourselves face to face 
chez,"at, with",prep, elle ira peut être vivre définitivement chez lui , she might go live with him permanently 
te,"you, to you, from you",pro, je vais t'emmener chez un médecin , I'm going to take you to a doctor 
rappeler,"to recall, call back",v, je ne me rappelle pas avoir été aussi heureux , I don't remember having been that happy 
présenter,to present,v, papa je te présente Claire ," daddy, this is Claire "
accepter,to accept,v, j'accepte avec plaisir votre aimable invitation , I accept with pleasure your kind invitation 
agir,to act,v, c'est le moment d'agir , now is the time to act 
simple,simple,nadj(f), on préférerait une réponse simple , we would prefer a simple answer 
plusieurs,several,"det,adj,pro", il y a plusieurs formes d'humour , there are several types of humor 
votre,your,det, permettez-moi de vous parler dans votre langue , allow me to speak to you in your language 
important,important,nadj, c'est une question extrêmement importante , it's an extremely important question 
présent,present,nadj, il est trop tard pour dîner à présent , it's too late to have supper now 
mieux,better,"adji(pl),adv,nm", je ne vous ai jamais mieux aimée , I have never loved you more 
poser,"to put, pose, ask",v, je ne me posais plus de questions , I didn't ask myself any more questions 
jouer,to play,v, les enfants jouent dehors , the children are playing outside 
mot,word,nm, je ne crois pas un mot sorti de ta petite bouche , I don't believe a single word from your little mouth
reconnaître,to recognize,v, Joseph reconnut le chant de la grive , Joseph recognized the thrush's song 
force,force,nf, parle-moi de ces forces surnaturelles , talk to me of these supernatural forces 
situation,situation,nf," dans des situations aussi difficiles, il faut trancher "," in such difficult situations, drastic measures must be taken"
offrir,to offer,v," alors, je vous offre la vie éternelle ", so I offer you eternal life 
près,"near, nearby, close by","adv,prep", il y a un siège vide près de vous , there's an empty seat near you 
choisir,to choose,v, c'est maintenant le moment de choisir , now is the moment to choose 
national,national,nadj, il y avait l'intérêt national français , the national interests of the French were involved 
projet,project,nm, le gouvernement ne financerait aucun projet touchant cette pratique , the government would not fund any project involving this practice
ni,nor,conj," je ne mange pas de viandes, ni de produits laitiers ", I don't eat meat or dairy products 
puis,"then, so",adv," elle a tenté de me tuer, puis elle m'a chassée "," she tried to kill me, then she chased me "
toucher,to touch,"nm,v", il lui touche l'épaule , he touches her shoulder 
train,train,nm, je pris le train pour un aller-retour vers la mer , I took the train on a round-trip outing to the sea
aujourd'hui,today,adv," je peux, aujourd'hui encore, en réciter ", even today I can still recite some of them 
comment,how,"adv,conj,intj,nmi", voyons un peu comment les choses se sont passées , let's take a look at how things unfolded 
surtout,"especially, above all","adv,nm", j'ai surtout besoin d'argent , what I need above all is money 
gens,people,nmpl, des gens sont venus me voir , people came to see me 
propre,"clean, proper",nadj(f)," la pétasse était propre, mec "," the woman was clean, man "
grâce,"thanks, grace, favour",nf, je ne vous demande aucune grâce , I'm not asking you for any favors 
idée,idea,nf, que pensez-vous de cette idée? , what do you think of this idea? 
selon,according to,prep, tout est prêt selon vos désirs , everything's ready according to your wishes 
région,region,nf, la région a connu une cinquantaine de massacres , the region has experienced some fifty massacres
aimer,"to like, love",v, tu sais que je t'aime , you know I love you 
sens,"sense, meaning",nm(pl), il manquait un sens à donner à ma vie , there was a lack of meaning in my life 
retrouver,"to find, recall",v, je te retrouve dehors , I'll find you outside 
semaine,week,nf, ma pièce se jouait cette semaine , my play was showing that week 
également,"also, too, as well, equally",adv, reculer est également hors de question , backing down is also not an option 
ci,"this one, here","adv,pro"," et celui-ci? oui, il est vraiment super "," and this one here? yes, he's really great "
façon,"way, manner",nf," c'est une façon de voir, je suppose "," it's a way of looking at it, I guess "
nombre,number,nm, il existe un nombre infini de réponses possibles , there are an infinite number of possible answers
perdre,to lose,v," vous avez perdu votre mère, mademoiselle? "," did you lose your mother, miss? "
français,French,nadj(pl), il faut leur parler en français , you need to speak to them in French 
expliquer,to explain,v," je vous en prie, expliquez-moi tout "," I beg you, explain everything to me "
quatre,four,"det,nmi", nous sommes quatre étudiants dans la maison , we're four students sharing a house 
compte,"account, count",nm, cette ville a eu son compte de désastres , this city has had its fair share of disasters 
considérer,to consider,v, la présidence considère cela comme une priorité majeure , the presidency considers that a major priority
lorsque,when,conj, que se passe-t-il lorsque nous manquons de sucre? , what happens when we lack sugar? 
ouvrir,to open,v," s'il vous plaît, ouvrez les yeux ", please open your eyes 
gagner,"to win, earn",v, que le meilleur gagne , may the best man win 
exemple,example,nm, ces exemples sont encore bien pauvres , these examples are still very weak 
ville,city,nf, nous étions de la même ville , we were from the same city 
économique,"economic, economical",nadj(f), le rétablissement économique de l'Asie est plus rapide que prévu , Asian economic recovery is faster than projected
mesure,measure,nf, écrire me libère dans une certaine mesure , writing liberates me to a certain extent 
histoire,"history, story",nf, on a raconté d'amusantes histoires , we told funny stories 
haut,"top, high","adv,nadj", voilà qui vous lancera dans la haute société , that's who will launch you into high society 
ensuite,next,adv, ensuite il va au restaurant , then he's going to the restaurant 
guerre,war,nf," c'est nul, la guerre! ", war is nothing! 
loi,law,nf, je vais voter contre le projet de loi , I'm going to vote against the bill 
président,president,nm, j'ai rencontré le président des Etats-Unis , I met the president of the U.S. 
exister,to exist,v, le risque n'existe plus , there is no more risk 
sûr,sure,adj," tu m'attends? bien sûr, poupée "," will you wait for me? of course, doll "
refuser,to refuse,v, attendez...vous refusez d'obéir? , wait... you refuse to obey? 
plutôt,rather,adv, ce jet vole plutôt bas , this jet is flying rather low 
bureau,"office, desk",nm, il veut vous voir dans son bureau immédiatement , he wants to see you in his office immediately
mauvais,"bad, wrong","adv,nadj(pl)", il constitue un pas dans la mauvaise direction , it constitutes a step in the wrong direction 
quant,as for,adv, les vents tempêtueux ont modifié la situation quant aux avalanches , the stormy winds changed the avalanche situation
mort,dead; death,"adj,nf", la mort ne m'effraye pas , death doesn't frighten me 
mal,bad,"adji,adv,nm"," autrement dit, la journée a plutôt mal commencé "," in other words, the day started out rather badly"
lire,to read; lira,"nf,v", je ne voulais pas lire mes poèmes , I didn't want to read my poems 
réussir,to succeed,v, il ne réussit pas à vendre un seul dessin , he can't manage to sell even one drawing 
marché,market,nm, le marché des maisons est resté stable , the housing market has remained stable 
condition,condition,nf, l'unité de la condition humaine , the unity of the human condition 
international,international,nadj, elle jouit également d'une excellente réputation internationale , she also has an excellent international reputation
changer,to change,v," ensemble, ils ont changé beaucoup de choses "," together, they changed many things "
oui,yes,"adv,nmi"," oui, oui, je sais! "," yes, yes, I know "
public,"public, audience",nadj, je dois beaucoup au public , I owe a lot to the public 
humain,human,nadj," vous savez, on est humains, nous aussi "," you know, we are also human "
souvent,often,adv, mais alors souvent en fin de soirée c'est la fête ," well, often the night ends with a party "
cinq,five,"det,nm(pl)"," j'ai cinq minutes, je dois rencontrer quelqu'un à midi ", I have five minutes someone at noon
système,system,nm, j'ai décrit le système idéal , I described the ideal system 
travailler,to work,v, nous devons travailler ensemble , we have to work together 
jeu,game,nm, nous n'entrons pas dans le jeu de la politique , we don't enter into the political fray 
vrai,true,"adv,nadj"," ah, oui, c'est vrai "," oh, yes, that's right "
représenter,to represent,v, il représente bien le sport français , he represents French sports very well 
madame,"madam, lady",nf, et je suis au service de madame ," I'm at your service, ma'am "
société,society,nf, on vit dans une société où tout s'accélère , we live in a society where everything is accelerating
difficile,difficult,nadj(f)," c'est difficile, monsieur, très difficile d'être un homme "," sir, it's difficult a man"
quoi,what,pro, je ne sais pas de quoi vous parlez , I don't know what you're talking about 
entreprise,"enterprise, business",nf, j'ai moi-même l'esprit d'entreprise ,  I myself have an entrepreneurial spirit nan
coup,"coup, blow, knock, stroke",nm, je lui donne juste un coup de main. je le lui dois , I'm just giving him a helping hand. I owe it to him
or,"gold; hence, thus","conj,nm", je ne suis pas chercheuse d'or , I'm not a gold-digger 
social,social,nadj, elle a une dimension sociale autant que biologique , it has a social dimension as much as a biological one
assurer,"to assure, insure",v, le contrat assure une pension à l'époux survivant , the contract guarantees a pension to the surviving spouse
essayer,to try,v, je vais essayer de vous convaincre , I'll try to convince you 
juste,"just, only; fair","adv,nadj(f)"," vous êtes juste et impartial, comme toujours "," you're fair and impartial, as always "
étranger,foreigner; foreign,nadj, la situation est bien différente à l'étranger , the situation is very different abroad 
empêcher,to prevent,v, cela n'aurait évidemment rien empêché , apparently that wouldn't have prevented anything 
million,million,nm, un quart de million d'articles ont été distribués , a quarter million articles were distributed 
manière,"manner, way",nf," de cette manière, nous serons ensemble "," this way, we will be together "
sortir,"to go out, leave",v, sortez ou j'appelle la police , get out of here or I'll call the police 
prix,price; prize,nm(pl), il y a un prix pour les gagnants , there is a prize for the winners 
terme,"term, deadline",nm, l'éducation sur le long terme paiera , education will pay off in the long term 
longtemps,"a long time, a long while",adv, pendant longtemps il ne bougea pas de son lit , for a long while he didn't move from his bed 
reprendre,"to resume, recover, start again, take back",v," on peut les arrêter, leur reprendre cette ville "," we can arrest them, take back this city from them"
courant,current,"adj,nm"," je suis au courant, il a téléphoné "," I'm aware of it, he telephoned "
intérêt,interest,nm, l'avenir ne présente guère d'intérêt , the future is hardly interesting 
mener,to lead,v, la police mène une enquête pour arrêter les assaillants , the police are leading an investigation to arrest the attackers
information,information,nf, ces dirigeants ont décidé de taire ces informations , these leaders decided to suppress this information
détail,detail,nm, vous devriez tout me raconter en détails , you should tell me everything in minute detail 
appartenir,to belong,v, cet argent n'appartient pas au gouvernement , this money does not belong to the government 
liberté,"liberty, freedom",nf, on se bat pour la liberté d'expression , we're fighting for freedom of expression 
assez,enough,adv, les journées ne sont plus assez longues , the days are no longer long enough 
risquer,to risk,v, un avocat ne viendra pas risquer sa vie , a lawyer won't come here to risk his life 
chacun,each,pro," ils ont chacun leurs intérêts, leurs passions "," they each have their own interests, passions "
concerner,to concern,v," en ce qui me concerne, je voudrais te féliciter "," for my part, I would like to congratulate you "
maison,house,nf, elle est revenue habiter à la maison , she came back to live at home 
d'abord,first of all,adv, je voudrais d'abord savoir quel métier tu exerces , I would first of all like to know what you do for a living
apprendre,to learn,v, où as-tu appris le métier? , where did you learn your trade? 
niveau,level,nm, ce niveau de collaboration ne sera pas maintenu , this level of cooperation will not be maintained
rencontrer,to meet,v, il rencontrera le pape au Vatican vendredi , he will meet the Pope at the Vatican on Friday 
ton,your; tone,"det,nm", le ton était donné , the tone was sounded 
œuvre,"work, task",nf, peu d'auteurs font référence à son œuvre , few authors cite his work 
créer,to create,v, des malentendus nous créent des problèmes terribles , misunderstandings create horrible problems for us
état,state,nm, la police était en état d'alerte maximum , the police were in a full state of emergency 
obtenir,"to get, obtain",v, j'essaierai d'obtenir la réponse pour demain , I will try to get the answer for tomorrow 
clair,clear,"adv,nadj"," la nuit était froide et claire, sous la lune "," the night was cold and clear, under the moon "
chercher,to look for,v, je ne cherche pas la richesse , I am not seeking riches 
entrer,"to enter, go in, come in",v, faut trouver le moyen d' entrer dans le soussol , gotta find the way to enter into the basement 
proposer,to propose,v, le jeune Français propose une promenade au parc , the young Frenchman proposed a stroll through the park
apporter,to bring,v, je vous ai apportée des fleurs de mon jardin , I brought you flowers from my garden 
programme,program,nm, utilisons ce programme comme il se doit , let's use this program the way it should be doit -- let's use this program the way it should be
loin,far,"adv,nm", tu es venu de si loin , you came from so far away 
ligne,line,nf, il ne compte qu'une seule ligne de texte , it only has a single line of text 
tête,head,nf, ma tête me gratte , my head is itchy 
libre,free,adj(f), demain je suis libre toute la journée , tomorrow I'm free all day 
utiliser,to use,v, il utilisait une sorte de rasoir , he was using some type of razor 
atteindre,to reach,v, leur fortune atteindrait des milliards , their fortune would reach billions 
tenter,"to tempt, try",v, il tente de sortir de l'Italie , he tried to leave Italy 
