abends	in the evening
das Bild	picture
das Boot	boat
das Brot	bread
das Brötchen	bread roll
das Buch	book
das Butterbrot	sandwich
das Büro	office
das Dach	roof
das Dorf	village
das Ei	egg
das Einkommen	income
das Eis	ice, icecream
das Ende (zu Ende)	end (finished)
das Erdgeschoss	ground floor
das Fach	(school) subject
das Fahrrad	bicycle
das Fenster	window
das Fest	festival
das Fieber	fever
das Fleisch	meat
das Flugzeug	plane
das Gebäude	building
das geht/ geht nicht	that's OK / won't do
das Geld	money
das Gelenk	joint
das Gemüse	vegetable
das Geschenk	present
das Geschäft	shop, business
das Gesicht	face
das Gleis	track, platform
das Gramm	gram
das Gymnasium	academic high school
das Handy	cell phone
das Haus	house
das Heft	exercise book
das Hemd	shirt
das Hindernis	obstacle
das Hähnchen	chicken
das Jahr	year
das Jugendzentrum	youth centre
das Kaufhaus	department store
das Kind	child
das Kino	cinema
das Klavier	piano
das Kleid	dress
das Land	country, state
das Lineal	ruler
das Medikament	medicine
das Meer	sea
das Mittagessen	lunch
das Museum	museum
das Mädchen	girl
das Oberteil	top (clothing)
das Obst	fruit
das Ohr	ear
das Paar	pair
das Paket	parcel
das Papier	paper
das Pferd	horse
das Picknick	picnic
das Rathaus	town hall
das Schaf	sheep
das Schlafzimmer	bedroom
das Schloss	castle
das Schwein	pig
das Schwimmbad	swimming pool
das Stadion	stadium
das Stück	piece
das Tal	valley
das Theater	theatre
das Tier	animal
das Verkehrsamt	tourist info office
das Viertel	quarter
das Wasser	water
das Wetter	weather
das Wochenende	weekend
das Wort	word
das Zelt	tent
das Zeugnis	school report
das Ziel	goal
das Zimmer	room
dass	that
dauern	to last
decken	to cover, set (table)
denken	to think
denn	for, because
der Abend	evening
der Adventskranz	Advent wreath
der Alltag	everyday life
der Apfel	apple
der Arm	arm
der Arzt	(male) doctor
der Aufschnitt	cold sliced meat
der Ausflug	excursion, trip
der Ausgang	exit
der Bahnhof	(train, bus) station
der Bauch	stomach
der Baum	tree
der Berg	mountain
der Bleistift	pencil
der Brief	letter
der Bruder	brother
der Campingplatz	camping ground
der Cent	cent
der Cousin	(male) cousin
der Direktor	(male) principal
der Dom	cathedral
der Duft	scent, fragrance
der Eindruck	impression
der Eingang	entrance
der Einwohner	inhabitant
der Empfänger	recipient
der Euro	Euro
der Fehler	mistake
der Felsen	rock
der Fernseher	Tv set
der Fisch	fish
der Flughafen	airport
der Fluss	river
der Freund	(boy) friend
der Frühling	spring
der Fuß	foot
der Fußball	football
der Führerschein	driver's licence
der Garten	garden
der Gast	guest
der Geburtstag	birthday
der Geruch	smell, odor
der Grad	degrees
der Großvater	grandfather
der Hafen	harbour
der Hals	neck, throat
der Handball	hand ball
der Herbst	autumn
der Herr	gentleman, Mr
der Hund	dog
der Imbiss	snack
der Junge	boy
der Kaffee	coffee
der Keller	cellar
der Knochen	bone
der Koffer	suitcase
der Kopf	head
der Krankenpfleger (-pflegerin)	nurse
der Kuchen	cake
der Kuli	pen, biro
der Käse	cheese
der Körper	body
der Kühlschrank	fridge
der Lehrer	(male) teacher
der Lärm	noise
der Mann	man, husband
der Mantel	coat
der Markt	market
der Mensch	person
der Meter	metre
der Mittag	noon
der Monat	month
der Morgen	morning
der Mund	mouth
der Nachbar	neighbour
der Nachmittag	afternoon
der Nachtisch	dessert
der Name	name
der Onkel	uncle
der Opa	grandad
der Ordner	folder, file
der Ort	place
der Platz	place
der Postbote	postman
der Postbotin	postwoman
der Rock	skirt
der Rücken	back
der Saft	juice
der Salat	lettuce, salad
der Schinken	ham
der Schlag	blow, strike; type (of person); cream [Öst.]; flare
der Schnupfen	(head) cold
der Schrank	cupboard
der Schuh	shoe
der Schulhof	schoolyard
der Schüler	(boy) school student
der See	lake
der Senf	mustard
der Sommer	summer
der Sonnenbrand	sunburn
der Stiefvater	stepfather
der Stock	floor (of building)
der Stoff	cloth, material
der Strand	beach
der Stuhl	chair
der Stundenplan	timetable
der Supermarkt	supermarket
der Tag	day
der Tee	tea
der Teppich	carpet
der Termin	appointment
der Tisch	table
der Treffer	hit, goal
der Unfall	accident
der Unterricht	lessons
der Urlaub	holiday, leave
der Vater	father
der Verantwortung	responsibility
der Vogel	bird
der Vormittag	morning
der Vorname	first name
der Wagen	car
der Wald	forest
der Wein	wine
der Winter	winter
der Zahn	tooth
der Zahnarzt	(man) dentist
der Zug	train
der/das	Teil part
der/die	Erwachsene adult
der/die	Verwandte relation
deshalb	therefore
Deutsch (sch. subject)	German
Deutschland	Germany
Dezember	December
dick	fat
die Achtung	attention, caution
die Adresse	address
die Alpen	the Alps
die Ampel	traffic lights
die Anstrengung	effort, exertion
die Apotheke	pharmacy
die Aufgabe	exercise
die Auseinandersetzung	dispute, argument
die Aussicht	view
die Banane	banana
die Belastung	burden
die Blume	flower
die Bluse	blouse
die Bohnen (pl)	beans
die Briefmarke	stamp
die Brille	pair of glasses
die Brücke	bridge
die Burg	castle, fortress
die Bäckerei	bakery
die Bühne	stage
die Cousine	(female) cousin
die Dauer	length, duration
die Decke	ceiling; blanket
die Direktorin	(female) principal
die Disco / Disko	disco
die Diskette	floppy disc
die Drogerie	chemist
die Ecke	corner
die Einnahmen	income, revenue
die Eltern	parents
die Entschuldigung	apology,
die Erbsen	peas
die Ermäßigung	discount, reduction
die Fahrt	trip
die Familie	family
die Farbe	colour
die Ferien	holidays
die Figur	figure
die Flasche	bottle
die Folge	order, sequence; consequence, result
die Frage	question
die Frau	woman, wife, Mrs
die Fremdsprache	foreign language
die Freundin	(girl) friend
die Fußgängerzone	pedestrian area
die Garage	garage
die Gegend	district, area
die Gegenwart	presence, present time
die Geschichte	history, story
die Geschwister	siblings
die Grippe	influenza
die Großmutter	grandmother
die Groβeltern (pl)	grandparents
die Grundschule	primary school
die Grüße (pl)	greetings
die Haare (pl)	hair
die Haltestelle	(bus, tram) stop
die Hauptstadt	capital city
die Hausaufgaben (machen)	(do) homework
die Haustier	pet
die Hose	pair of pants,trousers
die Idee	idea
die Insel	island
die Jacke	jacket
die Jahreszeit	season
die Jugendherberge	youth hostel
die Karte	card, ticket, map
die Kartoffeln (pl.)	potatoes
die Kasse	checkout, cashier
die Katze	cat
die Kerze	candle
die Kirche	church
die Klamotten (pl)	clothes
die Klasse	class
die Klassenarbeit	assessment test
die Konditorei	cake shop
die Kuh	cow
die Kunst	art
die Küche	kitchen
die Küste	coast
die Lampe	lamp
die Landschaft	scenery, landscape
die Lehrerin	(female) teacher
die Leute (pl)	people
die Linie	line, route
die Mauer	(outside) wall
die Maus	mouse
die Milch	milk
die Mitte	middle
die Mitternacht	midnight
die Musik	music
die Mutter	mother
die Möbel (pl)	furniture
die Nachrichten	news
die Nacht	night
die Nase	nose
die Neuigkeiten	news
die Niederlage	defeat
die Nordsee	North Sea
die Note	(school) mark
die Nudeln (pl.)	noodles
die Nummer	number
die Nähe	vicinity
die Oma	grandma, nana
die Orange	orange
die Ostsee	Baltic Sea
die Panne	breakdown
die Pause	interval
die Polizei	police
die Pommes frites	hot chips
die Post	post office; mail
die Prüfung	exam, test
die Richtung	direction
die Ruhe	silence
die Sache	thing
die Schlagzeile	headline
die Schmerzen (pl)	pain
die Schokolade	chocolate
die Schule	school
die Schweiz	Switzerland
die Schwester	sister
die Schülerin	(girl) school student
die Sehenswürdigkeiten (pl)	(tourist) sights
die Seite	side, page
die Sonne	sun
die Stadt	town, city
die Stiefmutter	stepmother
die Straße	street
die Straßenbahn	tram
die Stunde	lesson, hour
die Suppe	soup
die Süβigkeiten (pl)	sweets
die Tante	aunt
die Tasche	bag, pocket
die Tasse	cup
die Tastatur	keyboard
die Torte	cake, gateau
die Treppe	stairs
die Tür	door
die Tüte	(shopping) bag
die U-Bahn	underground, subway (train)
die Uhr	clock, watch
die Ursache	cause, reason
die Verletzung	injury
die Vermutung	guess, assumption
die Verunsicherung	uncertainty, insecurity
die Wand	(inside) wall
die Welt	world
die Woche	week
die Wohnung	flat, apartment
die Wurst	sausage
die Wurzel	root
die Zahnärztin	(woman) dentist
die Zeit	time
die Zeitung	newspaper
die Ärztin	(female) doctor
Dienstag	Tuesday
dieser, diese, dieses	this
diesmal	this time
doch	yet, however
Donnerstag	Thursday
doof	stupid, dumb
dort	there
dreckig	dirty, filthy
drehen	to turn, rotate, twist
drucken	to print
dumm	stupid
dunkel(blau)	dark (blue)
dünn	thin
durch	through
dürfen	to be allowed to, may
Durst haben	to be thirsty
echt	real, genuine
egal (es ist mir egal)	it's all the same to me
eilen	to hurry, rush
eilig (ich habe es eilig)	I'm in a hurry
ein bisschen	a little bit
ein paar	a few
ein paar	a few
eineinhalb (zweieinhalb etc)	one and a half etc
einfach	easy
einholen	to catch up with
einige	several
einkaufen gehen	to go shopping
einladen	to invite
einsteigen	to get in (vehicle)
empfehlen	to recommend
empfinden	to feel, sense, perceive
endlich	finally
eng	narrow
entfernen	to remove
Entschuldigung	excuse me, sorry
erfahren	to experience, learn
erklären	to explain
erleben	to experience
ernst	serious
erstaunt	surprised
erzählen	to relate
es gibt	there is, there are
es regnet	it's raining
es schneit	it's snowing
essen	to eat
etw. passen nicht	doesn't fit
etwas	something
fahren	to go, drive
fallen	to fall
falsch	false, wrong
fast	almost
faul	lazy
Februar	February
fehlen	to be absent
feiern	to celebrate
fernsehen	to watch TV
fertig	ready, finished
feststellen	to lock; ascertain, determine, establish; tell, discover; stress, emphasize
fettig	greasy
finden	to find
flach	flat
fleißig	hard-working
fliegen	to fly
fordern	to demand, ask; claim; challenge; make demands
fragen	to ask
Frankreich	France
Französisch	French (sch. subject)
frech	cheeky, naughty
frei	free
Freitag	Friday
fremd	foreign
fremd (ich bin hier fremd)	foreign, strange
froh	happy, glad
früh	early
frühstücken	to have breakfast
für	for
furchtbar	terrible, awful
ganz	quite, really, whole
gar nicht(s)	not at all; nothing at all
geben	to give
geboren	born
gefallen (es gefällt mir)	to like
gefährlich	dangerous
gegen	against, towards
gegenüber	opposite
gehen	to go
gehören (das gehört mir)	to belong
geizig	stingy, mean
gelb	yellow
gemein	mean
genau / genauso	exactly
genug	enough
geradeaus	straight ahead
gern	gladly
gestern	yesterday
gesund	healthy
getrennt	separated
gewinnen	to win
gewöhnlich	usually
glatt	smooth, straight
glauben	to think, believe
gleich	same; straight away
Glück haben	to be lucky
glücklich	happy, lucky
grau	grey
groß	big, tall
grün	green
gucken	to look, watch
gut	good
haben	to have
halb	half
hallo	hello
hässlich	ugly
heiß	hot
heißen	to be called
helfen	to help
hell	light(coloured); bright
herrlich	splendid, wonderful
heute	today
hier	here
hilfsbereit	helpful
hin und zurück	return (ticket)
hinter	behind
hoch	high
hoffen	to hope
hoffentlich	hopefully
holen	to fetch
hören	to hear, listen
hübsch	pretty
Hunger haben	to be hungry
ich gratuliere	congratulations
im Norden	in the north
im Osten	in the east
im Süden	in the south
im Westen	in the west
immer	always
in	in, into
in Ordnung	OK, fine
Informatik	computer studies
interessant	interesting
ja	yes
Januar	January
jedenfalls	in any case, anyway
jeder, jede, jedes	each, every
jemand	someone
jetzt	now
Juli	July
jung	young
Juni	June
kalt	cold
kaputt	broken
kaufen	to buy
kaum	hardly, scarcely
kennen	to know, be acquainted
klar	clear, obvious
klasse	great
klein	small
klingeln	to ring
kochen	to cook
kommen	to come
können	to be able to, can
kosten	to cost
krank	sick
kurz	short
lächeln	to smile
lachen	to laugh
lang	long
langsam	slow
langweilig	boring
lassen	to let, leave
laufen	to go, walk, run
laut	loud
leben	to live
lecker	delicious
leer	empty
legen	to put
Leid (es tut mir Leid)	I'm sorry
leider	unfortunately
leisten	to afford, accomplish
lernen	to learn
lesen	to read
letzt... (eg letzte Woche)	last
lieb	kind, dear
lieben	to love
liegen	to be situated, lie
liegen lassen	to leave behind
lila	purple, lilac
link... (eg auf der linken Seite)	left
links	on/to the left
lock	relaxed
lockig	curly
los (was ist los?)	what's wrong/what's going on?
Lust haben	to feel like
lustig	funny
Mai	May
mailen	to email
malen	to paint
man	one
manchmal	sometimes
März	March
Mathe	Maths
mehr	more
meinen	to think, mean
meistens	mostly
mindestens	at least
mit	with
mittags	at midday
Mittwoch	Wednesday
modisch	fashionable
mögen (möchten)	to like (would like)
möglich	possible
Montag	Monday
morgen	tomorrow
morgens	in the morning, every morning
müde	tired
müssen	must, have to
nach	after, to
nachdem	after
nachmittags	in the afternoon
nächste	next, nearest
nass	wet
Naturwissenschaften	science
natürlich	naturally, of course
neben	beside
neblig	foggy
nehmen	to take
nein	no
nervig	annoying
nett	nice
neu	new
Neuseeland	New Zealand
nicht	not
nicht wahr	isn't it, aren't they etc
nichts	nothing
nie	never
niemand	nobody
noch	still
normalerweise	usually
nötig	necessary
November	November
nun	now
nur	only
ob	if, whether
oben	upstairs
obwohl	although
oder	or
offen	open
oft	often
ohne	without
Oktober	October
Österreich	Austria
passen	to suit, fit
passieren	to happen
Pech haben	to be unlucky
plötzlich	suddenly
praktisch	practical
prima	fantastic
pünktlich	punctual
putzen	to clean
Rad fahren	to go bike-riding
rasen	to race
recht.. (eg die rechte Hand)	right
rechts	to/on the right
reich	rich
reisen	to travel
reiten	to horse-ride
relativ	relatively
reservieren	to reserve
richtig	correct
rosa	pink
rot	red
rufen	to call, shout
ruhig	quiet
sagen	to say
sammeln	to collect
Samstag	Saturday
satt	full (up); fed up
sauber	clean
sauer	sour; mad (at)
schade	pity
scheinen	to seem, shine
schicken	to send
schlafen	to sleep
schlagen	to hit
schlank	slim
schlecht	bad
schließlich	finally, eventually; after all
Schluss machen	to finish off
schmecken	to taste
schmutzig	dirty
schnell	quickly
schon	already
Schrecklich	terrible
schreiben	to write
schwach	weak
schwarz	black
schwer	heavy, difficult
schwierig	difficult
schwimmen	to swim
schön	beautiful; nice
schüchtern	shy
segeln	to sail
sehen	to see, look
sehr	very
sein	to be
seit	since
selbst	self; even
September	September
sich anziehen	to get dressed
sich ausziehen	to get undressed
sich beziehen auf	to refer to
sich duschen	to have a shower
sich erinnern	to remember
sich erkälten	to catch cold
sich freuen auf	to look forward to
sich freuen über	to be glad about
sich fühlen	to feel
sich interessieren für	to be interested in
sich melden	put your hand up (in class)
sich setzen	to sit down
sich treffen	to meet
sich vorstellen	to introduce oneself; imagine
sicher	certain; safe
simsen/ SMS schicken	to text
sitzen	to sit down
sitzen bleiben	to repeat the year
Ski fahren	to go skiing
so	so
so ... wie	as ... as
sofort	immediately
sollen	be supposed to, should
sondern	but
Sonntag	Sunday
sonst	otherwise
spannend	exciting
sparen	to save
spazieren gehen	to go for a walk
Spaß haben	to have fun
Spaß machen	to be fun
spielen	to play
Sport treiben	to do sport
sportlich	sporting
sprechen	to speak
spät	late
spülen	to wash up
spüren	to feel, detect
stark	strong
stattfinden	to take place
stehen	to stand
stehlen	to steal
stellen	to put
stimmt	that's right
stolz (auf)	proud (of)
streicheln	to stroke, pet
streng	strict
suchen	to look for
süß	sweet
sympathisch	pleasant, nice
tanzen	to dance
tatsächlich	in fact, actually
teuer	expensive
Tischtennis	tabletennis
toll	great
total	absolutely
tragen	to carry, wear
traurig	sad
trinken	to drink
trocken	dry
tschüs / tschüss	goodbye
üben	to practise
über	over
überfallen	to raid, attack
überlegen	to consider, think about
übermorgen	day after tomorrow
übernachten	to stay the night
übernehmen	to take, take over, take on
überrascht	surprised
um	round, at
umgedreht	upside down, turned around
umsonst	free of charge
umsteigen	to change (trains etc)
unangenehm	unpleasant, disagreeable
unbedingt	absolutely
und	and
ungefähr	approximately
unten	downstairs
unter	under
unterwegs	on the way
verbinden	to connect
verboten	forbidden
verbringen	to spend (time)
vergessen	to forget
verkaufen	to sell
verlassen	to leave
verletzt	injured
verlieren	to lose
vernünftig	sensible, rational
verpassen	to miss (train etc)
verschwinden	to disappear
versprechen	to promise
verstehen	to understand
versuchen	to try
viel	much, a lot
viele	many, lots
vielen Dank	thank you very much
vielleicht	perhaps
voll	full
von	from, of, by
vor	in front of, before
vorbei	past
vorbeifahren	to drive past
vorbereiten	to prepare
vorgestern	day before yesterday
vorhaben	to plan, intend
vorstellen	to introduce, imagine
wahr	true, real
wahrscheinlich	probably
wandern	to go tramping
wann	when?
warten	to wait
warum	why?
was	what
waschen	to wash
wecken	to wake
weg	away
wegen	because of
weh tun	to hurt
Weihnachten	Christmas
weil	because
weit	far
weiß	white
welcher, welche, welches	which
wenig	few, hardly any
wenn	when, if
wer	who
werden	to become, be
werfen	to throw
wichtig	important
wie	how
Wie wäre es mit...?	How about ...?
wieder	again
wiederholen	to repeat, revise
windig	windy
wirken	to have an effect
wirklich	really
wissen	to know
wo	where
woher	where from
wohin	where to
wohl	well; probably
wohnen	to live
wolkig	cloudy
wollen	to want to
wunderbar	wonderful
zahlreich	numerous
zeigen	to show
ziemlich	quite, rather
zittern	to tremble, shiver
zögern	to hesitate, procrasinate
zu	to, too
zu Fuß	on foot
zuerst	first of all
zuhören	to listen
zumachen	to shut
zurück	back
zusammen	together
zwischen	between
