Word,Imperfectum_singularis,Imperfectum_pluralis,Hulpverbum,Participium,English
lachen,lachte,lachten,hebben,gelachen,to laugh
laten,liet,lieten,hebben,gelaten,to let
leggen,legde,legden,hebben,gelegd,to lay
leiden,leidde,leidden,hebben,geleid,to lead
lenen,leende,leenden,hebben,geleend,to borrow; to lend
leren,leerde,leerden,hebben,geleerd,to learn
letten,lette,letten,hebben,gelet,to take care of
leven,leefde,leefden,hebben,geleefd,to live; to exist
lezen,las,lazen,hebben,gelezen,to read
liegen,loog,logen,hebben,gelogen,to lie; to deceive
liggen,lag,lagen,hebben,gelegen,to lie; to spread out
lijden,leed,leden,hebben,geleden,to suffer
lijken,leek,leken,hebben,geleken,to seem; to appear; to look
logeren,logeerde,logeerden,hebben,gelogeerd,to stay over; to lodge
lopen,liep,liepen,zijn/hebben,gelopen,to walk
luiden,luidde,luidden,hebben,geluid,to sound; to chime; to be
luisteren,luisteren,luisterde,hebben,geluisterd,to listen
lukken,lukte,lukten,zijn,gelukt,to do well; to succeed
maken,maakte,maakten,hebben,gemaakt,to make
mededelen,deelde mede,deelden mede,hebben,medegedeeld,to state; to inform
meebrengen,bracht mee,brachten mee,hebben,meegebracht,to bring along
meedelen,deelde mee,deelden mee,hebben,meegedeeld,to state; to inform
meedoen,deed mee,deden mee,hebben,meegedaan,to participate
meegaan,ging mee,gingen mee,zijn,meegegaan,to go/come along; to join
meemaken,maakte mee,maakten mee,hebben,meegemaakt,to go through; to experience
meenemen,nam mee,namen mee,hebben,meegenomen,to take along; to take away
meevallen,viel mee,vielen mee,zijn,meegevallen,to exceed expectations
menen,meende,meenden,hebben,gemeend,to mean
mengen,mengde,mengden,hebben,gemengd,to mix
merken,merkte,merkten,hebben,gemerkt,to take note; to discern
missen,miste,misten,hebben,gemist,to miss
moeten,moest,moesten,hebben,gemoeten,to must; to have to
mogen,mocht,mochten,hebben,gemogen,to may; to be allowed to
nadenken,dacht na,dachten na,hebben,nagedacht,to reflect; to think
naderen,naderde,naderden,hebben,genaderd,to approach; to near
neerleggen,legde neer,legden neer,hebben,neergelegd,to lay down
neerzetten,zette neer,zetten neer,hebben,neergezet,to put down
nemen,nam,namen,hebben,meegenomen,to take
noemen,noemde,noemden,hebben,genoemd,to name
oefenen,oefende,oefenden,hebben,geoefend,to exercise
omdraaien,draaide om,draaiden om,hebben,omgedraaid,to turn around
omkeren,keerde om,keerden om,hebben,omgekeerd,to make a U-turn
onderhandelen,onderhandelde,onderhandelden,hebben,onderhandeld,to negotiate
onderscheiden,onderscheidde,onderscheidden,hebben,onderscheid,to distinguish
onderzoeken,onderzocht,onderzochten,hebben,onderzocht,to research
ontbreken,ontbrak,ontbraken,hebben,ontbroken,to lack
ontdekken,ontdekte,ontdekten,hebben,ontdekt,to discover
onthouden,onthield,onthielden,hebben,onthouden,to remember
ontmoeten,ontmoette,ontmoetten,hebben,ontmoet,to meet
ontstaan,ontstond,ontstonden,zijn,ontstaan,to come into existence
opvallen,viel op,vielen op,zijn,opgevallen,to be conspicious; to stand out
opzetten,zette op,zetten op,hebben,opgezet,to set up
opzoeken,zocht op,zochten op,hebben,opgezocht,to look up
organiseren,organiseerde,organiseerden,hebben,georganiseerd,to organise
overblijven,bleef over,bleven over,zijn,overgebleven,to remain
overgaan,ging over,gingen over,zijn,overgegaan,to turn into; to move over; to transfer
overlijden,overleed,overleden,zijn,overleden,to pass away
oversteken,stak over,staken over,hebben,overgestoken,to cross (over)
overtuigen,overtuigde,overtuigden,hebben,overtuigd,to convince
overwegen,overwoog,overwogen,hebben,overwogen,to consider
pakken,pakte,pakten,hebben,gepakt,to grab; to grip
parkeren,parkeerde,parkeerden,hebben,geparkeerd,to park
passen,paste,pasten,hebben,gepast,to fit; to try on
peinzen,peinsde,peinsden,hebben,gepeinsd,to ponder
plaatsen,plaatste,plaatsten,hebben,geplaatst,to place
plaatsvinden,vond plaats,vonden plaats,hebben,plaatsgevonden,to take place
plegen,pleegde,pleegden,hebben,gepleegd,to commit; to perpetrate
praten,praatte,praatten,hebben,gepraat,to talk
proberen,probeerde,probeerden,hebben,geprobeerd,to try; to attempt
proeven,proefde,proefden,hebben,geproefd,to try; to taste
protesteren,protesteerde,protesteerden,hebben,geprotesteerd,to protest
publiceren,publiceerde,publiceerden,hebben,gepubliceerd,to publish
raken,raakte,raakten,hebben,geraakt,to hit; to touch; to become
reageren,reageerde,reageerden,hebben,gereageerd,to react
realiseren,realiseerde,realiseerden,hebben,gerealiseerd,to realise
redden,redde,redden,hebben,gered,to rescue; to save
regelen,regelde,regelden,hebben,geregeld,to regulate; to arrange
regenen,regende,regenden,hebben,geregend,to rain
reiken,reikte,reikten,hebben,gereikt,to reach
reizen,reisde,reisden,zijn/hebben,gereisd,to travel
rekenen,rekende,rekenden,hebben,gerekend,to calculate
rennen,rende,renden,zijn/hebben,gerend,to run
reserveren,reserveerde,reserveerden,hebben,gereserveerd,to reserve
richten,richtte,richtten,hebben,gericht,to direct; to aim
rijden,reed,reden,zijn/hebben,gereden,to drive
roepen,riep,riepen,hebben,geroepen,to call; to shout
roken,rookte,rookten,hebben,gerookt,to smoke
rusten,rustte,rustten,hebben,gerust,to rest
scheiden,scheidde,scheidden,hebben,gescheiden,to separate; to divorce
schelen,scheelde,scheelden,hebben,gescheeld,to matter; to make a difference
schenken,schonk,schonken,hebben,geschonken,to gift; to give; to pour
scheppen,schiep,schiepen,hebben,geschapen,to create
scheuren,scheurde,scheurden,hebben,gescheurd,to tear; to rip
schieten,schoot,schoten,hebben,geschoten,to shoot
schijnen,scheen,schenen,hebben,geschenen,to shine
schilderen,schilderde,schilderden,hebben,geschilderd,to paint
schoonmaken,maakte schoon,maakten schoon,hebben,schoongemaakt,to clean
schreeuwen,schreeuwde,schreeuwden,hebben,geschreeuwd,to scream; to shout
schrijven,schreef,schreven,hebben,geschreven,to write
schrikken,schrok,schrokken,zijn,geschrokken,to be startled
schudden,schudde,schudden,hebben,geschud,to shake; to stir
schuiven,schoof,schoven,hebben,geschoven,to shove; to slide
slagen,slaagde,slaagden,zijn,geslaagd,to succeed; to pass
slapen,sliep,sliepen,hebben,geslapen,to sleep
telefoneren,telefoneerde,telefoneerde,hebben,getelefoneerd,to phone
tellen,telde,telden,hebben,geteld,to count
terugkeren,keerde terug,keerden terug,hebben,teruggekeerd,to revert; to go back
terugkomen,kwam terug,kwamen terug,zijn,teruggekomen,to come back
thuiskomen,kwam thuis,kwamen thuis,zijn,thuisgekomen,to come home
toegeven,gaf toe,gaven toe,hebben,toegegeven,to give in; to admit
toelaten,liet toe,lieten toe,hebben,toegelaten,to allow; to admit
toepassen,paste toe,pasten toe,hebben,toegepast,to apply
toevoegen,voegde toe,voegden toe,hebben,toegevoegd,to add
tonen,toonde,toonden,hebben,getoond,to show; to display
treden,trad,traden,zijn/hebben,getreden,to tread
treffen,trof,troffen,hebben,getroffen,to affect
trekken,trok,trokken,hebben,getrokken,to pull
trouwen,trouwde,trouwden,hebben,getrouwd,to marry
uitbreiden,breidde uit,breidden uit,hebben,uitgebreid,to expand
uitdelen,deelde uit,deelden uit,hebben,uitgedeeld,to pass around; to distribute
uitdrukken,drukte uit,drukten uit,hebben,uitgedrukt,to express
uitgaan,ging uit,gingen uit,zijn,uitgegaan,to go out
uitgeven,gaf uit,gaven uit,hebben,uitgegeven,to spend; to pay
uitkijken,keek uit,keken uit,hebben,uitgekeken,to watch out; to look forward to
uitkleden,kleedde uit,kleedde uit,hebben,uitgekleed,to undress
uitkomen,kwam uit,kwamen uit,zijn,uitgekomen,to emerge; to work out
uitleggen,legde uit,legden uit,hebben,uitgelegd,to explain
uitmaken,maakte uit,maakten uit,hebben,uitgemaakt,to put out
uitnodigen,nodigde uit,nodigden uit,hebben,uitgenodigd,to invite
uitoefenen,oefende uit,oefenden uit,hebben,uitgeoefend,to practise; to exert
uitspreken,sprak uit,spraken uit,hebben,uitgesproken,to pronounce
uitstappen,stapte uit,stapten uit,zijn,uitgestapt,to get off
uitsteken,stak uit,staken uit,hebben,uitgestoken,to stand out; to stick out
uittrekken,trok uit,trokken uit,hebben,uitgetrokken,to take off
uitvoeren,voerde uit,voerden uit,hebben,uitgevoerd,to carry out; to execute; to export
uitzien,zag uit,zagen uit,hebben,uitgezien,to look (forward to)
uitzoeken,zocht uit,zochten uit,hebben,uitgezocht,to sort out; to work out
vallen,viel,vielen,zijn,gevallen,to fall
vangen,ving,vingen,hebben,gevangen,to catch
varen,voer,voeren,zijn/hebben,gevaren,to boat
vechten,vocht,vochten,hebben,gevochten,to fight
veranderen,veranderde,veranderden,hebben,veranderd,to change
verbaasde,verbaasden,hebben,verbaasd,to amaze; to surprise
verbergen,verborg,verborgen,hebben,verborgen,to conceal; to hide
verbood,verboden,hebben,verboden,to forbid
verbinden,verbond,verbonden,hebben,verbonden,to connect; to link
verdelen,verdeelde,verdeelden,hebben,verdeeld,to split; to divide
verdienen,verdiende,verdienden,hebben,verdiend,to earn; to deserve
verdwenen,verdween,verdwenen,zijn,verdwenen,to disappear
verenigen,verenigde,verenigden,hebben,verenigd,to unite
vergelijken,vergeleek,vergeleken,hebben,vergeleken,to compare
vergeten,vergat,vergaten,hebben,vergeten,to forget
vergissen,vergiste,vergisten,hebben,vergist,to be wrong; to mistake
verheugen,verheugde,verheugden,hebben,verheugd,to gladden; to be glad
verhogen,verhoogde,verhoogden,hebben,verhoogd,to heighten; to raise
verhuizen,verhuisde,verhuisden,zijn/hebben,verhuisd,to move house
verhuren,verhuurde,verhuurden,hebben,verhuurd,to rent out; to lease
verkeren,verkeerden,verkeerden,hebben,verkeerd,to find oneself; to be somewhere
waarschuwen,waarschuwde,waarschuwden,hebben,gewaarschuwd,to warn
wachten,wachtte,wachtten,hebben,gewacht,to wait
wagen,waagde,waagden,hebben,gewaagd,to take a chance; to risk
weggaan,ging weg,gingen weg,zijn,weggegaan,to go away; to leave
wandelen,wandelde,wandelden,zijn/hebben,gewandeld,to stroll; to walk
wassen,waste,wasten,hebben,gewassen,to wash
weigeren,weigerde,weigerden,hebben,geweigerd,to decline; to reject
wekken,wekte,wekte,hebben,gewekt,to awaken
wennen,wende,wenden,hebben,gewend,to get used to
wensen,wenste,wensten,hebben,gewenst,to wish
werken,werkte,werkten,hebben,gewerkt,to work
werpen,wierp,wierpen,hebben,geworpen,to throw; to cast
weten,wist,wisten,hebben,geweten,to know
wijzen,wees,wezen,hebben,gewezen,to point
willen,wilde,wilden,hebben,gewild,to want
winnen,won,wonnen,hebben,gewonnen,to win
wonen,woonde,woonden,hebben,gewoond,to reside; to live
worden,werd,werden,zijn,geworden,to become
zakken,zakte,zakten,zijn,gezakt,to drop; to fail
zeggen,zei,zeiden,hebben,gezegd,to say
zenden,zond,zonden,hebben,gezonden,to transmit; to send
zetten,zette,zetten,hebben,gezet,to set; to put
zien,zag,zagen,hebben,gezien,to see
zijn,was,waren,zijn,geweest,to be
zingen,zong,zongen,hebben,gezongen,to sing
zitten,zat,zaten,hebben,gezeten,to sit 
